id,payout_uuid,transaction_id,sale_id,recipient_entity,recipient_role,amount,currency,status,notion_page_url,created_at,sent_at
1,b29bb67b-d392-44e0-a715-d216a8d92584,1,,,default,100,USD,queued,,2025-10-05T01:32:23.623425+00:00,
2,69c7d78a-de5b-4b11-aa0f-54725c41f2e9,2,,,default,100,USD,queued,,2025-10-05T04:01:54.874894+00:00,
3,7706900f-a825-42b1-a57a-76084f0d7473,6,88570fc5-3acc-4b59-83e0-d8b6064c3cc7,8,executor,100,USD,queued,,2025-10-05T06:05:46.14401+00:00,
4,1903c584-f0f7-4ce6-9266-f519ff6bf260,6,88570fc5-3acc-4b59-83e0-d8b6064c3cc7,8,ip_holder,15.5,USD,queued,,2025-10-05T06:05:46.14401+00:00,
5,0cd50899-7e21-4f6c-92ed-8e3198406270,6,88570fc5-3acc-4b59-83e0-d8b6064c3cc7,8,creator,0,USD,queued,,2025-10-05T06:05:46.14401+00:00,
6,482e9c9c-160b-4676-9187-602613c2414e,7,dd32b632-0c78-4661-880e-d1e991cdacfd,8,executor,100,USD,queued,,2025-10-05T06:18:01.878311+00:00,
7,9c5e0437-a558-435f-8b53-4ee03a139f03,7,dd32b632-0c78-4661-880e-d1e991cdacfd,8,ip_holder,15.5,USD,queued,,2025-10-05T06:18:01.878311+00:00,
8,6e0420de-ada1-4c70-8e55-3eecc233890d,7,dd32b632-0c78-4661-880e-d1e991cdacfd,8,creator,0,USD,queued,,2025-10-05T06:18:01.878311+00:00,
9,ba9ae408-e31c-4aae-a460-3d0152a35769,8,0799d5a0-579a-4acb-a4ba-a81cd6926723,8,executor,100,USD,queued,,2025-10-05T06:18:01.878311+00:00,
10,9f9819b3-ff2d-43eb-8947-e0d343dcbfce,8,0799d5a0-579a-4acb-a4ba-a81cd6926723,8,ip_holder,15.5,USD,queued,,2025-10-05T06:18:01.878311+00:00,
11,5aa7e403-d889-432a-ac9d-2c53feb2fa89,8,0799d5a0-579a-4acb-a4ba-a81cd6926723,8,creator,0,USD,queued,,2025-10-05T06:18:01.878311+00:00,
12,99b3ea00-db1d-4337-86af-d606e2656897,9,78fd7c33-9946-48dc-9b2b-695865f456f7,8,executor,100,USD,queued,,2025-10-05T06:18:28.661923+00:00,
13,1abfdab2-05d7-4134-987f-a2f647c032d1,9,78fd7c33-9946-48dc-9b2b-695865f456f7,8,ip_holder,15.5,USD,queued,,2025-10-05T06:18:28.661923+00:00,
14,eca77071-86a0-464b-889d-fedef1ece655,9,78fd7c33-9946-48dc-9b2b-695865f456f7,8,creator,0,USD,queued,,2025-10-05T06:18:28.661923+00:00,
15,e19992c4-9193-48f4-9bdc-18829d631872,10,200a9f54-4b8e-4cab-83d5-c117ce6bdab0,8,executor,100,USD,queued,,2025-10-05T06:18:28.661923+00:00,
16,455d7255-ddf3-46c4-9f35-f0310dce9b0e,10,200a9f54-4b8e-4cab-83d5-c117ce6bdab0,8,ip_holder,15.5,USD,queued,,2025-10-05T06:18:28.661923+00:00,
17,564b83fa-1092-4124-8e39-edf0fc0e078f,10,200a9f54-4b8e-4cab-83d5-c117ce6bdab0,8,creator,0,USD,queued,,2025-10-05T06:18:28.661923+00:00,
18,a86044c5-0828-4598-9061-10bd162d6cf6,11,,8,executor,100,USD,queued,,2025-10-06T08:03:23.39313+00:00,
19,5372f4f2-4bd3-451e-a8bc-c9b664077ff2,11,,8,ip_holder,15.5,USD,queued,,2025-10-06T08:03:23.39313+00:00,
20,19ccce03-7ad5-4610-8706-95890df78ee9,11,,8,creator,0,USD,queued,,2025-10-06T08:03:23.39313+00:00,
21,784acc06-3255-4e10-8eb6-94b7d6c2fb0b,12,,8,executor,200,USD,queued,,2025-10-06T08:21:00.673568+00:00,
22,457bc55c-6b18-40a6-bf94-a9fd8d5569c8,12,,8,ip_holder,120,USD,queued,,2025-10-06T08:21:00.673568+00:00,
23,d18d47f1-73e6-4f6d-a1ba-a783ae9c1602,12,,8,creator,60,USD,queued,,2025-10-06T08:21:00.673568+00:00,
24,2a27ea69-ec53-4792-bcab-b95d36632052,13,,8,executor,300,USD,queued,,2025-10-06T08:23:15.803508+00:00,
26,44c8b4a5-2de3-4fdc-8e56-cb40d969ff9e,13,,8,creator,140,USD,queued,,2025-10-06T08:23:15.803508+00:00,
